,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
have,0.9491,-0.3497,0.4812,-0.19310000000000002,-0.0088,0.2818,-0.9613,-0.1358,-0.4308,-0.09290000000000001,0.1569,0.0596,-0.4964,-0.1741,0.7566,0.49210000000000004,0.2177,-0.2278,-0.1369,-0.9059,-0.4878,0.19920000000000002,0.9145000000000001,-0.162,-0.2064,-1.7312,-0.4762,-0.0485,-0.1403,-0.45830000000000004,4.0326,0.6052000000000001,0.10450000000000001,-0.7361000000000001,0.2485,-0.0335,-0.134,0.0528,-0.2727,0.07980000000000001,-0.8013,0.3083,0.43570000000000003,0.8875000000000001,0.2982,-0.0246,-0.9508000000000001,0.3623,-0.7251000000000001,-0.6089
but,0.3593,-0.2657,-0.0465,-0.24960000000000002,0.5468000000000001,0.2592,-0.6446000000000001,0.1736,-0.5306000000000001,0.1394,0.0623,0.18460000000000001,-0.755,-0.1957,0.708,0.4476,0.27030000000000004,-0.32880000000000004,-0.3889,-0.6161,-0.484,0.417,0.34790000000000004,-0.1971,0.4073,-2.1488,-0.24280000000000002,0.3381,0.4399,-0.2162,3.7635,0.19,-0.125,-0.38230000000000003,0.12940000000000002,-0.1827,0.07680000000000001,0.5158,0.0073,-0.2919,-0.2752,0.40590000000000004,-0.040400000000000005,0.28350000000000003,-0.0247,0.1056,-0.32880000000000004,0.1067,-0.115,0.0747
were,0.7336,-0.7482000000000001,0.4591,-0.5604,0.09190000000000001,0.3302,-1.2034,-0.15560000000000002,-1.1205,-0.5938,0.233,-0.46280000000000004,-0.34790000000000004,-0.47900000000000004,0.5762,-0.1605,-0.2646,-0.1373,-0.9188000000000001,-0.6534,0.058800000000000005,0.6155,1.2607,-0.3982,-0.2606,-1.0127,-0.38520000000000004,-0.0969,-0.117,-0.4854,3.6902,0.3074,0.5071,-0.6537000000000001,0.8049000000000001,0.23670000000000002,0.6177,0.0302,-0.5764,0.6047,-0.6395000000000001,-0.11370000000000001,0.8498,0.4141,0.0838,-0.2874,-1.4735,-0.201,-0.17250000000000001,-1.0984
not,0.5502,-0.2494,-0.0009000000000000001,-0.264,0.5932000000000001,0.2795,-0.25670000000000004,0.0931,-0.3629,0.0908,0.2841,0.7134,-0.4751,-0.2441,0.8842000000000001,0.8911,0.43010000000000004,-0.2733,0.11280000000000001,-0.8166,-0.4127,0.17750000000000002,0.6194000000000001,0.1047,0.33330000000000004,-2.3125,-0.5237,-0.0219,0.538,-0.5062,3.8683,0.16640000000000002,-0.7198,-0.7473000000000001,0.1163,-0.3758,0.5552,0.1268,-0.22640000000000002,-0.1017,-0.35450000000000004,0.12350000000000001,0.1653,0.7042,-0.08020000000000001,-0.0684,-0.6763,0.3376,0.050100000000000006,0.3346
this,0.5307000000000001,0.4012,-0.4078,0.1544,0.4778,0.20750000000000002,-0.2695,-0.3402,-0.10880000000000001,0.1056,-0.1029,0.1085,-0.4968,-0.2513,0.8402000000000001,0.3895,0.32280000000000003,-0.228,-0.4434,-0.3165,-0.1241,-0.2817,0.1947,0.0555,0.5671,-1.7419,-0.9114000000000001,0.27040000000000003,0.4193,0.020300000000000002,4.0405,-0.2494,-0.20420000000000002,-0.6276,-0.0548,-0.26880000000000004,0.1844,0.182,-0.2354,-0.16160000000000002,-0.2766,0.035500000000000004,-0.3821,-0.0008,-0.2482,0.2816,0.1282,0.2876,0.1444,0.2361
who,-0.19460000000000002,-0.051300000000000005,0.2644,-0.5740000000000001,1.0236,0.5892000000000001,-1.3399,0.3103,-0.8943000000000001,-0.13190000000000002,0.213,0.2917,-0.6608,0.08410000000000001,0.7658,-0.4239,0.3244,0.136,-0.2999,-0.046400000000000004,-0.7481,1.2134,0.2499,0.2285,0.23550000000000001,-2.6054,0.12490000000000001,-0.9403,-0.5831000000000001,-0.32320000000000004,2.8419,0.3347,-0.339,-0.2343,0.3774,0.09380000000000001,-0.2597,0.6889000000000001,0.3769,-0.21860000000000002,-0.2424,1.0029,0.18610000000000002,0.27490000000000003,0.48090000000000005,-0.4353,-1.1012,-0.671,-0.2165,-0.025900000000000003
they,0.7084,-0.5736,0.15380000000000002,-0.6334000000000001,0.46880000000000005,-0.0666,-0.8683000000000001,0.3597,-0.6479,-0.2252,0.0975,0.2773,-0.3518,-0.2596,0.6237,0.6082000000000001,0.3491,-0.272,-0.2798,-1.0183,-0.1487,0.4193,1.0342,0.1778,0.13570000000000002,-1.9999,-0.5616,0.004,0.6084,-1.0031,3.9546,0.687,-0.5359,-0.7427,0.18080000000000002,0.0345,0.016,0.1247,-0.08460000000000001,-0.1038,-0.4786,-0.22310000000000002,0.2549,0.6998000000000001,0.3271,-0.1573,-0.6202000000000001,-0.2311,-0.31220000000000003,-0.3049
had,0.6035,-0.521,0.40850000000000003,-0.37220000000000003,0.3698,0.6108,-1.3228,0.24380000000000002,-0.5942000000000001,-0.35710000000000003,0.39940000000000003,0.031900000000000005,-1.0643,-0.5233,0.7145,0.0634,-0.46380000000000005,-0.34640000000000004,-0.7244,-0.1371,-0.1918,0.7222000000000001,0.6295000000000001,-0.8086,-0.037700000000000004,-2.0355,0.1057,-0.0386,-0.232,-0.2963,3.3215,0.0324,0.0854,-0.4077,0.4534,-0.09970000000000001,0.447,0.5422,0.1819,0.17500000000000002,-0.3383,0.317,-0.0253,0.09580000000000001,-0.25070000000000003,-0.4756,-1.0407,-0.1514,-0.22060000000000002,-0.5963
i,0.1189,0.1526,-0.0821,-0.7414000000000001,0.7592,-0.4833,-0.31010000000000004,0.5148,-0.9871000000000001,0.0006000000000000001,-0.1504,0.8377,-1.0797,-0.5146000000000001,1.3188,0.6201,0.1378,0.4711,-0.0729,-0.7268,-0.7412000000000001,0.7526,0.8818,0.29560000000000003,1.3548,-2.5701,-1.3523,0.45880000000000004,1.0068,-1.1856,3.4737,0.779,-0.7293000000000001,0.251,-0.2616,-0.3468,0.5584,0.751,0.4983,-0.2682,-0.0027,-0.0183,-0.281,0.5532,0.037700000000000004,0.18560000000000001,-0.1502,-0.5751000000000001,-0.2667,0.9212
which,0.9056000000000001,0.054,-0.0241,0.0811,0.0864,0.655,-0.3422,-0.7613000000000001,0.10260000000000001,0.059500000000000004,0.3035,-0.10310000000000001,-0.2857,-0.3506,0.23320000000000002,0.2791,-0.0022,0.16010000000000002,-0.6562,-0.13340000000000002,0.3849,-0.2087,0.2614,-0.0903,-0.34940000000000004,-1.5398,-0.4635,0.1673,-0.1925,-0.19790000000000002,4.008,-0.2451,-0.15460000000000002,-0.2889,-0.0495,-0.297,0.21610000000000001,-0.153,-0.12240000000000001,0.0714,-0.111,-0.1552,-0.0269,-0.0678,-0.5661,0.2099,-0.405,-0.1291,-0.1832,-0.588
